ﾙｰｾﾝﾄｺｰﾄ池袋102,東京都豊島区池袋4-24-10 ﾙｰｾﾝﾄｺｰﾄ池袋102
ﾙｰｾﾝﾄｺｰﾄ池袋201,東京都豊島区池袋4-24-10 ﾙｰｾﾝﾄｺｰﾄ池袋201
ﾙｰｾﾝﾄｺｰﾄ池袋202,東京都豊島区池袋4-24-10 ﾙｰｾﾝﾄｺｰﾄ池袋202
ﾙｰｾﾝﾄｺｰﾄ池袋301,東京都豊島区池袋4-24-10 ﾙｰｾﾝﾄｺｰﾄ池袋301
ﾙｰｾﾝﾄｺｰﾄ池袋302,東京都豊島区池袋4-24-10 ﾙｰｾﾝﾄｺｰﾄ池袋302
下根ビル202,東京都豊島区池袋2-64-13 下根ビル202
下根ビル301,東京都豊島区池袋2-64-13 下根ビル301
下根ビル401,東京都豊島区池袋2-64-13 下根ビル401
下根ビル402,東京都豊島区池袋2-64-13 下根ビル402
白鳥ハイツ305,東京都豊島区池袋2-23-23 白鳥ハイツ305
下根ビル302,東京都豊島区池袋2-64-13 下根ビル302
M130004492,東京都豊島区巣鴨5-10-3 1号室
ｴｸｽｸﾙｰｼﾌﾞ池袋201,東京都豊島区池袋本町4-6-11 ｴｸｽｸﾙｰｼﾌﾞ池袋201
セレス上池袋201,東京都豊島区上池袋4-22-3 セレス上池袋201
セレス上池袋202,東京都豊島区上池袋4-22-3 セレス上池袋202
セレス上池袋301,東京都豊島区上池袋4-22-3 セレス上池袋301
セレス上池袋302,東京都豊島区上池袋4-22-3 セレス上池袋302
プライムハイツ202,東京都豊島区雑司が谷2-1-2 プライムハイツ202
プライムハイツ401,東京都豊島区雑司が谷2-1-2 プライムハイツ401
プライムハイツ402,東京都豊島区雑司が谷2-1-2 プライムハイツ402
ﾒｿﾞﾝﾄﾞｰﾙｱﾑ602,東京都豊島区南大塚2-45-11 ﾒｿﾞﾝﾄﾞｰﾙｱﾑ602
ﾛｲﾔﾙｺｰﾄ池袋201,東京都豊島区西池袋2-10-18 ﾛｲﾔﾙｺｰﾄ池袋201
ﾛｲﾔﾙｺｰﾄ池袋202,東京都豊島区西池袋2-10-18 ﾛｲﾔﾙｺｰﾄ池袋202
ﾛｲﾔﾙｺｰﾄ池袋203,東京都豊島区西池袋2-10-18 ﾛｲﾔﾙｺｰﾄ池袋203
M130004797,東京都豊島区高松2-34-5 D棟
ｱﾒﾆﾃｨｵｰﾙ201,東京都豊島区上池袋1-17-10 ｱﾒﾆﾃｨｵｰﾙ201
ｱﾒﾆﾃｨｵｰﾙ202,東京都豊島区上池袋1-17-10 ｱﾒﾆﾃｨｵｰﾙ202
ｸﾛｰｶｽ202,東京都豊島区西巣鴨2-3-1 ｸﾛｰｶｽ202
ｸﾛｰｶｽ301,東京都豊島区西巣鴨2-3-1 ｸﾛｰｶｽ301
ｸﾛｰｶｽ302,東京都豊島区西巣鴨2-3-1 ｸﾛｰｶｽ302
菱和ﾊﾟﾚｽ池袋602,東京都豊島区池袋4-6-1 菱和ﾊﾟﾚｽ池袋602
三好荘①,東京都豊島区北大塚3-18-19 三好荘①
三好荘②,東京都豊島区北大塚3-18-19 三好荘②
永和ﾋﾞﾙ202,東京都豊島区北大塚1-12-3 永和ﾋﾞﾙ202
ｴﾐﾅｽ池袋1102,東京都豊島区南池袋2-47-4 ｴﾐﾅｽ池袋1102
ｴﾐﾅｽ池袋501,東京都豊島区南池袋2-47-4 ｴﾐﾅｽ池袋501
ｿﾗﾓ目白101,東京都豊島区西池袋2-1-8 ｿﾗﾓ目白101
ｿﾗﾓ目白102,東京都豊島区西池袋2-1-8 ｿﾗﾓ目白102
ｿﾗﾓ目白201,東京都豊島区西池袋2-1-8 ｿﾗﾓ目白201
ｿﾗﾓ目白202,東京都豊島区西池袋2-1-8 ｿﾗﾓ目白202
ﾘﾌｭｰｼﾞｭ・ｱｲ・ﾉｰｽ403,東京都豊島区南池袋1-14-2 ﾘﾌｭｰｼﾞｭ・ｱｲ・ﾉｰｽ403
ﾘﾌｭｰｼﾞｭ・ｱｲ・ﾉｰｽ802,東京都豊島区南池袋1-14-2 ﾘﾌｭｰｼﾞｭ・ｱｲ・ﾉｰｽ802
ﾘﾌｭｰｼﾞｭ・ｱｲ・ﾉｰｽ803,東京都豊島区南池袋1-14-2 ﾘﾌｭｰｼﾞｭ・ｱｲ・ﾉｰｽ803
ｴﾐﾅｽ池袋201,東京都豊島区南池袋2-47-4 ｴﾐﾅｽ池袋201
ｴﾐﾅｽ池袋202,東京都豊島区南池袋2-47-4 ｴﾐﾅｽ池袋202
ガーデン大塚206,東京都豊島区南大塚3-38-14 ガーデン大塚206
ﾌﾟﾛｽﾍﾟﾘﾃ池袋103,東京都豊島区池袋2-30-8 ﾌﾟﾛｽﾍﾟﾘﾃ池袋103
椎名町ハイム105,東京都豊島区長崎2-12-9 椎名町ハイム105
ガーデン大塚303,東京都豊島区南大塚3-38-14 ガーデン大塚303
ｺｰﾎﾟﾗｽ･ﾘｵ201,東京都豊島区雑司が谷1-41-6 ｺｰﾎﾟﾗｽ･ﾘｵ201
ベイトシャローム703,東京都豊島区駒込2-7-18 ベイトシャローム703
ﾒｿﾞﾝﾄﾞｰﾙｱﾑ601,東京都豊島区南大塚2-45-11 ﾒｿﾞﾝﾄﾞｰﾙｱﾑ601
