バインオークメッツ503,京都市中京区寺町通御池上る上本能寺前町４７０番地 バインオークメッツ503
バインオークメッツ601,京都市中京区寺町通御池上る上本能寺前町４７０番地 バインオークメッツ601
パティオフィッツ,京都市右京区太秦安井馬塚町８番地 パティオフィッツ
パティオフィッツ,京都市右京区太秦安井馬塚町８番地 パティオフィッツ
バンカハウゼ７　２０２号室,京都市下京区綾小路通麩屋町西入塩屋町４４番地 バンカハウゼ７　２０２号室
バンカハウゼ７　２０３号室,京都市下京区綾小路通麩屋町西入塩屋町４４番地 バンカハウゼ７　２０３号室
バンカハウゼ７　３０１号室,京都市下京区綾小路通麩屋町西入塩屋町４４番地 バンカハウゼ７　３０１号室
バンカハウゼ７　４０１号室,京都市下京区綾小路通麩屋町西入塩屋町４４番地 バンカハウゼ７　４０１号室
プラザコラム３０５号室,京都市中京区三条通東洞院東入菱屋町３６番地 プラザコラム３０５号室
プラザコラム５０２,京都市中京区三条通東洞院東入菱屋町３６番地 プラザコラム５０２
フレグランス富小路１０２,京都市中京区鍛冶屋町３８４番地 フレグランス富小路１０２
フレグランス富小路２０１,京都市中京区富小路通二条上る鍛冶屋町３８４番地 フレグランス富小路２０１
フレグランス富小路３０２,京都市中京区富小路通二条上る鍛冶屋町３８４番地 フレグランス富小路３０２
フレグランス富小路４０１,京都市中京区富小路通二条上る鍛冶屋町３８４番地 フレグランス富小路４０１
フレグランス富小路４０３,京都市中京区富小路通二条上る鍛冶屋町３８４番地 フレグランス富小路４０３
ベルフレール京都三条３０１,京都市中京区新町通三条下る三条町３２４番地１，３２４番地２ ベルフレール京都三条３０１
マンションシルクリバー202号,京都市伏見区深草稲荷中之町５６番地１，５６番地 マンションシルクリバー202号
マンションシルクリバー205号,京都市伏見区深草稲荷中之町５６番地１，５６番地 マンションシルクリバー205号
マンション丸高１０３号室,京都市東山区伏見街道筋五筋上る金屋町５４８番地１，５４８番地２，５４８番地３ マンション丸高１０３号室
メゾン・ル・レヴェ２０１,京都市東山区大黒町通五条上る大黒町３０７番地 メゾン・ル・レヴェ２０１
メゾン・ル・レヴェ２０２,京都市東山区大黒町通五条上る大黒町３０７番地 メゾン・ル・レヴェ２０２
メゾン・ル・レヴェ２０３,京都市東山区大黒町通五条上る大黒町３０７番地 メゾン・ル・レヴェ２０３
メゾン・ル・レヴェ２０４,京都市東山区大黒町通五条上る大黒町３０７番地 メゾン・ル・レヴェ２０４
メゾン・ル・レヴェ２０５,京都市東山区大黒町通五条上る大黒町３０７番地 メゾン・ル・レヴェ２０５
メゾンレグルス３０１号室,京都市山科区椥辻草海道町２５番地３３ メゾンレグルス３０１号室
ラフォンティーヌ川辺２０１号,京都市下京区綾小路通新町西入矢田町１２１番地 ラフォンティーヌ川辺２０１号
ラフォンティーヌ川辺４０５号,京都市下京区綾小路通新町西入矢田町１２１番地 ラフォンティーヌ川辺４０５号
ラフォンティーヌ川辺４０６号,京都市下京区綾小路通新町西入矢田町１２１番地 ラフォンティーヌ川辺４０６号
ラフォンティーヌ川辺５０５号,京都市下京区綾小路通新町西入矢田町１２１番地 ラフォンティーヌ川辺５０５号
りぶ京都北大路,京都市北区紫野西藤ノ森町１２－２２ りぶ京都北大路
ロアンヌ東山１０１,京都市東山区伏見街道筋五条上る二丁目森下町５２９番地 ロアンヌ東山１０１
ロアンヌ東山１０２,京都市東山区伏見街道筋五条上る二丁目森下町５２９番地 ロアンヌ東山１０２
ロアンヌ東山２０１,京都市東山区伏見街道筋五条上る二丁目森下町５２９番地 ロアンヌ東山２０１
ロアンヌ東山２０２,京都市東山区伏見街道筋五条上る二丁目森下町５２９番地 ロアンヌ東山２０２
ロアンヌ東山２０３,京都市東山区伏見街道筋五条上る二丁目森下町５２９番地 ロアンヌ東山２０３
ロアンヌ東山３０１,京都市東山区伏見街道筋五条上る二丁目森下町５２９番地 ロアンヌ東山３０１
ロアンヌ東山３０２,京都市東山区伏見街道筋五条上る二丁目森下町５２９番地 ロアンヌ東山３０２
ロアンヌ東山３０３,京都市東山区伏見街道筋五条上る二丁目森下町５２９番地 ロアンヌ東山３０３
ロータリーマンション３０５号,京都市左京区山端川原町７番地７ ロータリーマンション３０５号
ロータリーマンション３０６号,京都市左京区山端川原町７番地７ ロータリーマンション３０６号
ワイズアティック１０２号室,京都市東山区粟田口三条坊町３０番地２３ ワイズアティック１０２号室
ワイズアティック２０１号室,京都市東山区粟田口三条坊町３０番地２３ ワイズアティック２０１号室
ワイズアティック２０２号室,京都市東山区粟田口三条坊町３０番地２３ ワイズアティック２０２号室
ワイズアティック２０３号室,京都市東山区粟田口三条坊町３０番地２３ ワイズアティック２０３号室
烏丸アネックス３１２,京都市中京区東洞院通三条下る三文字町２０５番地１，２０４番地 烏丸アネックス３１２
烏丸アネックス４１２,京都市中京区東洞院通三条下る三文字町２０５番地１，２０４番地 烏丸アネックス４１２
烏丸アネックス４１４,京都市中京区東洞院通三条下る三文字町２０５番地１，２０４番地 烏丸アネックス４１４
烏丸アネックス４１５,京都市中京区東洞院通三条下る三文字町２０５番地１，２０４番地 烏丸アネックス４１５
烏丸アネックス４１６,京都市中京区東洞院通三条下る三文字町２０５番地１，２０４番地 烏丸アネックス４１６
烏丸アネックス４１７,京都市中京区東洞院通三条下る三文字町２０５番地１，２０４番地 烏丸アネックス４１７
五条セフィーマンション　１０２号室,京都市下京区諏訪町通五条上る高砂町３７４番地 五条セフィーマンション　１０２号室
五条セフィーマンション　４０１号室,京都市下京区諏訪町通五条上る高砂町３７４番地 五条セフィーマンション　４０１号室
高木ビル401,京都市下京区大宮通四条下る四条大宮町２５番地，２６番地 高木ビル401
高木ビル402,京都市下京区大宮通四条下る四条大宮町２５番地，２６番地 高木ビル402
高木ビル405,京都市下京区大宮通四条下る四条大宮町２５番地，２６番地 高木ビル405
